time,/VIN,/VOUT,/CLKS,/I0/CLKS_I,/I0/X,/I0/Y,/I0/GATE,Bootstrapped
0.000,1.650,1.650,3.300,4.437E-9,3.158,1.650,3.158,1.508
28.99E-15,1.650,1.650,3.290,-2.250E-3,3.157,1.649,3.158,1.508
50.17E-15,1.650,1.650,3.283,-3.888E-3,3.157,1.648,3.158,1.508
92.52E-15,1.650,1.650,3.269,-7.150E-3,3.156,1.646,3.158,1.508
177.2E-15,1.650,1.650,3.242,-13.61E-3,3.154,1.643,3.158,1.508
300.3E-15,1.650,1.650,3.201,-22.85E-3,3.151,1.638,3.157,1.507
546.5E-15,1.650,1.650,3.120,-40.81E-3,3.146,1.629,3.156,1.506
918.2E-15,1.650,1.650,2.997,-66.71E-3,3.138,1.615,3.155,1.505
1.318E-12,1.650,1.650,2.865,-93.07E-3,3.130,1.601,3.154,1.504
1.772E-12,1.650,1.650,2.715,-121.2E-3,3.123,1.587,3.153,1.503
2.287E-12,1.650,1.650,2.545,-151.2E-3,3.117,1.574,3.152,1.502
2.801E-12,1.650,1.650,2.376,-179.2E-3,3.112,1.563,3.151,1.501
3.389E-12,1.650,1.650,2.182,-208.9E-3,3.106,1.550,3.149,1.499
4.450E-12,1.650,1.650,1.831,-256.9E-3,3.096,1.530,3.148,1.498
5.291E-12,1.650,1.650,1.554,-291.4E-3,3.088,1.516,3.146,1.496
5.906E-12,1.650,1.650,1.351,-316.1E-3,3.084,1.508,3.145,1.495
6.436E-12,1.650,1.650,1.176,-338.1E-3,3.080,1.503,3.145,1.495
6.925E-12,1.650,1.650,1.015,-359.4E-3,3.078,1.500,3.144,1.494
7.561E-12,1.650,1.650,804.9E-3,-387.9E-3,3.075,1.497,3.144,1.494
8.194E-12,1.650,1.650,595.9E-3,-416.0E-3,3.073,1.498,3.144,1.494
8.752E-12,1.650,1.650,411.7E-3,-439.4E-3,3.072,1.500,3.143,1.493
9.317E-12,1.650,1.650,225.3E-3,-459.9E-3,3.071,1.504,3.143,1.493
9.659E-12,1.650,1.650,112.7E-3,-468.3E-3,3.071,1.507,3.143,1.493
9.829E-12,1.650,1.650,56.33E-3,-470.4E-3,3.071,1.509,3.144,1.493
10.00E-12,1.650,1.650,0.000,-470.7E-3,3.071,1.511,3.144,1.494
10.05E-12,1.650,1.650,0.000,-467.0E-3,3.072,1.513,3.144,1.494
10.10E-12,1.650,1.650,0.000,-463.7E-3,3.072,1.515,3.144,1.494
10.15E-12,1.650,1.650,0.000,-460.2E-3,3.073,1.517,3.144,1.494
10.25E-12,1.650,1.650,0.000,-453.0E-3,3.074,1.521,3.144,1.494
10.46E-12,1.650,1.650,0.000,-438.4E-3,3.076,1.528,3.145,1.495
10.87E-12,1.650,1.650,0.000,-408.6E-3,3.081,1.543,3.146,1.496
11.60E-12,1.650,1.650,0.000,-354.3E-3,3.090,1.570,3.147,1.497
12.32E-12,1.650,1.650,0.000,-299.1E-3,3.098,1.596,3.149,1.499
13.06E-12,1.650,1.650,0.000,-242.1E-3,3.106,1.621,3.150,1.500
13.97E-12,1.650,1.650,0.000,-170.7E-3,3.116,1.652,3.152,1.502
15.24E-12,1.650,1.650,0.000,-70.68E-3,3.129,1.695,3.155,1.505
16.84E-12,1.650,1.650,0.000,56.27E-3,3.145,1.749,3.158,1.508
19.65E-12,1.650,1.650,0.000,284.8E-3,3.172,1.845,3.164,1.514
21.98E-12,1.650,1.650,0.000,478.5E-3,3.192,1.924,3.168,1.518
23.18E-12,1.650,1.650,0.000,578.8E-3,3.202,1.964,3.171,1.520
24.64E-12,1.650,1.650,0.000,697.0E-3,3.213,2.012,3.173,1.523
25.68E-12,1.650,1.650,0.000,774.1E-3,3.221,2.045,3.175,1.525
26.50E-12,1.650,1.650,0.000,830.6E-3,3.227,2.070,3.176,1.526
27.63E-12,1.650,1.650,0.000,905.1E-3,3.234,2.104,3.178,1.528
28.69E-12,1.650,1.650,0.000,972.6E-3,3.241,2.136,3.180,1.529
29.82E-12,1.650,1.650,0.000,1.042,3.247,2.168,3.181,1.531
31.29E-12,1.650,1.650,0.000,1.132,3.253,2.209,3.183,1.533
33.16E-12,1.650,1.650,0.000,1.243,3.257,2.259,3.185,1.535
35.25E-12,1.650,1.650,0.000,1.363,3.258,2.311,3.186,1.536
37.73E-12,1.650,1.650,0.000,1.500,3.253,2.368,3.188,1.538
41.27E-12,1.650,1.650,0.000,1.681,3.235,2.442,3.188,1.538
42.29E-12,1.650,1.650,0.000,1.731,3.227,2.462,3.188,1.538
43.33E-12,1.650,1.650,0.000,1.779,3.218,2.481,3.188,1.538
44.50E-12,1.650,1.650,0.000,1.833,3.207,2.503,3.187,1.537
45.89E-12,1.650,1.650,0.000,1.894,3.191,2.528,3.186,1.536
47.45E-12,1.650,1.650,0.000,1.959,3.172,2.554,3.185,1.535
50.19E-12,1.650,1.650,0.000,2.067,3.131,2.596,3.181,1.531
52.93E-12,1.650,1.650,0.000,2.168,3.085,2.631,3.175,1.525
55.70E-12,1.650,1.650,0.000,2.263,3.035,2.658,3.167,1.517
59.12E-12,1.650,1.650,0.000,2.373,2.971,2.681,3.155,1.505
63.28E-12,1.650,1.650,0.000,2.493,2.892,2.695,3.137,1.487
67.72E-12,1.650,1.650,0.000,2.607,2.807,2.695,3.116,1.466
72.42E-12,1.650,1.650,0.000,2.713,2.721,2.683,3.091,1.441
77.32E-12,1.650,1.650,0.000,2.808,2.639,2.660,3.063,1.413
78.45E-12,1.650,1.650,0.000,2.828,2.621,2.653,3.057,1.407
80.72E-12,1.650,1.650,0.000,2.866,2.588,2.639,3.044,1.394
81.72E-12,1.650,1.650,0.000,2.882,2.574,2.633,3.038,1.388
83.73E-12,1.650,1.650,0.000,2.912,2.548,2.620,3.027,1.377
87.39E-12,1.650,1.650,0.000,2.963,2.512,2.598,3.007,1.357
90.37E-12,1.650,1.650,0.000,3.000,2.496,2.583,2.992,1.342
94.01E-12,1.650,1.650,0.000,3.041,2.488,2.569,2.974,1.324
97.51E-12,1.650,1.650,0.000,3.076,2.485,2.559,2.957,1.307
100.3E-12,1.650,1.650,0.000,3.101,2.484,2.554,2.944,1.294
103.6E-12,1.650,1.650,0.000,3.126,2.484,2.549,2.928,1.278
108.2E-12,1.650,1.650,0.000,3.157,2.482,2.547,2.906,1.255
116.8E-12,1.650,1.650,0.000,3.202,2.480,2.553,2.864,1.213
126.2E-12,1.650,1.650,0.000,3.235,2.478,2.571,2.817,1.167
136.1E-12,1.650,1.650,0.000,3.259,2.477,2.601,2.768,1.118
147.0E-12,1.650,1.650,0.000,3.275,2.475,2.643,2.714,1.064
159.0E-12,1.650,1.650,0.000,3.286,2.474,2.696,2.654,1.004
172.6E-12,1.650,1.650,0.000,3.293,2.473,2.763,2.584,933.9E-3
187.8E-12,1.650,1.650,0.000,3.296,2.471,2.842,2.503,853.2E-3
204.4E-12,1.650,1.650,0.000,3.298,2.470,2.927,2.408,757.5E-3
222.9E-12,1.650,1.649,0.000,3.299,2.469,3.021,2.283,632.6E-3
239.7E-12,1.650,1.649,0.000,3.299,2.469,3.099,2.158,507.7E-3
259.4E-12,1.650,1.649,0.000,3.299,2.470,3.173,2.010,359.3E-3
275.1E-12,1.650,1.649,0.000,3.299,2.471,3.215,1.891,240.6E-3
294.2E-12,1.650,1.649,0.000,3.299,2.473,3.247,1.747,96.68E-3
314.0E-12,1.650,1.649,0.000,3.299,2.475,3.265,1.600,-50.73E-3
333.2E-12,1.650,1.649,0.000,3.298,2.477,3.274,1.458,-192.2E-3
353.2E-12,1.650,1.649,0.000,3.298,2.479,3.278,1.315,-335.8E-3
375.9E-12,1.651,1.649,0.000,3.297,2.482,3.281,1.162,-488.9E-3
398.4E-12,1.651,1.649,0.000,3.295,2.484,3.283,1.025,-625.4E-3
422.1E-12,1.651,1.649,0.000,3.295,2.487,3.285,898.4E-3,-752.2E-3
444.7E-12,1.651,1.649,0.000,3.294,2.489,3.287,793.7E-3,-856.9E-3
470.8E-12,1.651,1.648,0.000,3.294,2.491,3.289,689.5E-3,-961.2E-3
504.5E-12,1.651,1.648,0.000,3.295,2.494,3.291,575.3E-3,-1.075
537.0E-12,1.651,1.648,0.000,3.295,2.496,3.293,481.7E-3,-1.169
572.9E-12,1.651,1.648,0.000,3.296,2.498,3.294,394.7E-3,-1.256
617.4E-12,1.651,1.648,0.000,3.296,2.501,3.295,306.4E-3,-1.344
668.7E-12,1.651,1.648,0.000,3.297,2.503,3.296,227.3E-3,-1.424
723.1E-12,1.651,1.648,0.000,3.298,2.506,3.297,164.4E-3,-1.487
780.0E-12,1.651,1.648,0.000,3.298,2.508,3.298,116.3E-3,-1.535
840.0E-12,1.651,1.648,0.000,3.298,2.511,3.299,80.27E-3,-1.571
904.3E-12,1.651,1.648,0.000,3.299,2.513,3.299,53.58E-3,-1.598
974.6E-12,1.651,1.648,0.000,3.299,2.516,3.300,34.15E-3,-1.617
1.053E-9,1.651,1.648,0.000,3.299,2.519,3.300,20.41E-3,-1.631
1.142E-9,1.652,1.648,0.000,3.299,2.523,3.300,11.11E-3,-1.640
1.245E-9,1.652,1.648,0.000,3.299,2.527,3.300,5.246E-3,-1.646
1.366E-9,1.652,1.648,0.000,3.299,2.533,3.300,1.912E-3,-1.650
1.514E-9,1.652,1.648,0.000,3.299,2.540,3.301,327.1E-6,-1.652
1.700E-9,1.652,1.648,0.000,3.300,2.551,3.301,-158.2E-6,-1.652
1.945E-9,1.653,1.648,0.000,3.300,2.569,3.301,-65.66E-6,-1.653
2.291E-9,1.653,1.648,0.000,3.300,2.599,3.301,225.8E-6,-1.653
2.719E-9,1.654,1.648,0.000,3.300,2.640,3.301,428.2E-6,-1.653
3.077E-9,1.654,1.648,0.000,3.300,2.675,3.301,481.4E-6,-1.654
3.479E-9,1.655,1.648,0.000,3.300,2.713,3.301,477.4E-6,-1.654
3.936E-9,1.655,1.648,0.000,3.300,2.755,3.301,460.9E-6,-1.655
4.716E-9,1.656,1.648,0.000,3.300,2.821,3.301,425.5E-6,-1.656
5.491E-9,1.657,1.648,0.000,3.300,2.880,3.301,394.9E-6,-1.657
6.622E-9,1.659,1.648,0.000,3.300,2.956,3.300,340.7E-6,-1.659
7.620E-9,1.660,1.648,0.000,3.300,3.013,3.300,299.6E-6,-1.660
8.964E-9,1.662,1.648,0.000,3.300,3.075,3.300,243.0E-6,-1.662
10.19E-9,1.664,1.648,0.000,3.300,3.121,3.300,203.4E-6,-1.663
11.83E-9,1.666,1.648,0.000,3.300,3.169,3.300,156.6E-6,-1.666
13.37E-9,1.668,1.648,0.000,3.300,3.203,3.300,124.9E-6,-1.668
15.29E-9,1.670,1.648,0.000,3.300,3.233,3.300,94.13E-6,-1.670
17.23E-9,1.673,1.648,0.000,3.300,3.255,3.300,72.84E-6,-1.673
