time,CLKC,CLK_Latch,CLK_Amp,Vin_DM,PreAmp,XP,XN,Latch,Latch_N,LP,LN,DCMP,DCMP_N,DCMPP,DCMPN
0.000,0.000,3.300,650.5E-9,200.0E-6,-289.9E-9,3.300,3.300,134.9E-12,-134.9E-12,2.669E-6,2.669E-6,-165.2E-15,165.2E-15,3.300,3.300
1.080E-12,35.66E-3,3.300,6.483E-6,200.0E-6,-289.8E-9,3.300,3.300,134.6E-12,-134.6E-12,3.039E-6,3.039E-6,-254.5E-15,254.5E-15,3.300,3.300
1.939E-12,63.99E-3,3.300,10.55E-6,200.0E-6,-289.8E-9,3.300,3.300,134.4E-12,-134.4E-12,3.262E-6,3.262E-6,-297.5E-15,297.5E-15,3.300,3.300
2.880E-12,95.03E-3,3.300,14.58E-6,200.0E-6,-289.8E-9,3.300,3.300,134.3E-12,-134.3E-12,3.456E-6,3.456E-6,-328.2E-15,328.2E-15,3.300,3.300
4.761E-12,157.1E-3,3.300,20.92E-6,200.0E-6,-289.7E-9,3.300,3.300,134.1E-12,-134.1E-12,3.665E-6,3.665E-6,-334.0E-15,334.0E-15,3.300,3.300
8.524E-12,281.3E-3,3.300,27.64E-6,200.0E-6,-289.5E-9,3.300,3.300,134.1E-12,-134.1E-12,3.604E-6,3.603E-6,-237.1E-15,237.1E-15,3.300,3.300
14.84E-12,489.9E-3,3.300,27.36E-6,200.0E-6,-289.2E-9,3.300,3.300,134.3E-12,-134.3E-12,2.953E-6,2.953E-6,-48.85E-15,48.85E-15,3.300,3.300
21.57E-12,711.7E-3,3.300,19.51E-6,200.0E-6,-288.8E-9,3.300,3.300,134.4E-12,-134.4E-12,2.281E-6,2.281E-6,21.76E-15,-21.76E-15,3.300,3.300
29.13E-12,961.3E-3,3.300,4.008E-6,200.0E-6,-288.5E-9,3.300,3.300,134.3E-12,-134.3E-12,1.718E-6,1.718E-6,-5.329E-15,5.329E-15,3.300,3.300
33.50E-12,1.105,3.300,-10.61E-6,200.0E-6,-288.3E-9,3.300,3.300,134.2E-12,-134.2E-12,1.344E-6,1.344E-6,-24.42E-15,24.42E-15,3.300,3.300
37.81E-12,1.248,3.300,-29.64E-6,200.0E-6,-288.1E-9,3.300,3.300,134.2E-12,-134.2E-12,940.6E-9,940.4E-9,-43.08E-15,43.08E-15,3.300,3.300
42.29E-12,1.396,3.300,-53.12E-6,200.0E-6,-287.8E-9,3.300,3.300,134.0E-12,-134.0E-12,577.3E-9,577.1E-9,-77.27E-15,77.27E-15,3.300,3.300
47.52E-12,1.568,3.300,-81.99E-6,200.0E-6,-287.6E-9,3.300,3.300,133.7E-12,-133.7E-12,368.9E-9,368.7E-9,-150.1E-15,150.1E-15,3.300,3.300
54.38E-12,1.794,3.300,-121.5E-6,200.0E-6,-287.2E-9,3.300,3.300,133.1E-12,-133.1E-12,324.1E-9,323.9E-9,-245.6E-15,245.6E-15,3.300,3.300
57.55E-12,1.899,3.300,-143.4E-6,200.0E-6,-287.1E-9,3.300,3.300,132.8E-12,-132.8E-12,198.5E-9,198.4E-9,-250.0E-15,250.0E-15,3.300,3.300
60.90E-12,2.010,3.300,-176.2E-6,200.0E-6,-286.9E-9,3.300,3.300,143.1E-12,-143.1E-12,-405.8E-9,-405.9E-9,3.183E-12,-3.183E-12,3.300,3.300
63.46E-12,2.094,3.300,-213.3E-6,200.0E-6,-286.8E-9,3.300,3.300,141.1E-12,-141.1E-12,-1.440E-6,-1.440E-6,1.819E-12,-1.819E-12,3.300,3.300
65.49E-12,2.161,3.300,-244.4E-6,200.0E-6,-286.7E-9,3.300,3.300,139.5E-12,-139.5E-12,-2.107E-6,-2.107E-6,925.9E-15,-925.9E-15,3.300,3.300
67.66E-12,2.233,3.300,-272.6E-6,200.0E-6,-286.6E-9,3.300,3.300,137.8E-12,-137.8E-12,-2.244E-6,-2.244E-6,128.3E-15,-128.3E-15,3.300,3.300
69.60E-12,2.297,3.300,-290.1E-6,200.0E-6,-286.5E-9,3.300,3.300,136.2E-12,-136.2E-12,-1.755E-6,-1.756E-6,-485.8E-15,485.8E-15,3.300,3.300
71.77E-12,2.368,3.300,-300.8E-6,200.0E-6,-286.4E-9,3.300,3.300,134.4E-12,-134.4E-12,-697.8E-9,-697.9E-9,-1.071E-12,1.071E-12,3.300,3.300
74.71E-12,2.465,3.300,-299.5E-6,200.0E-6,-286.3E-9,3.300,3.300,122.2E-12,-122.2E-12,1.239E-6,1.239E-6,-4.995E-12,4.995E-12,3.300,3.300
77.66E-12,2.563,3.300,-278.3E-6,200.0E-6,-286.1E-9,3.300,3.300,122.4E-12,-122.4E-12,3.664E-6,3.664E-6,-3.726E-12,3.726E-12,3.300,3.300
81.68E-12,2.696,3.300,-213.2E-6,200.0E-6,-286.0E-9,3.300,3.300,122.1E-12,-122.1E-12,7.652E-6,7.652E-6,-2.525E-12,2.525E-12,3.300,3.300
85.65E-12,2.826,3.300,-108.8E-6,200.0E-6,-285.8E-9,3.300,3.300,121.4E-12,-121.4E-12,11.94E-6,11.94E-6,-1.847E-12,1.847E-12,3.300,3.300
89.37E-12,2.949,3.300,25.81E-6,200.0E-6,-285.6E-9,3.300,3.300,120.6E-12,-120.6E-12,16.05E-6,16.05E-6,-1.476E-12,1.476E-12,3.300,3.300
91.01E-12,3.003,3.300,98.43E-6,200.0E-6,-285.6E-9,3.300,3.300,120.2E-12,-120.2E-12,18.00E-6,18.00E-6,-1.397E-12,1.397E-12,3.300,3.300
92.73E-12,3.060,3.300,190.5E-6,200.0E-6,-303.4E-9,3.300,3.300,-4.638E-9,4.638E-9,20.63E-6,20.64E-6,-1.747E-9,1.747E-9,3.300,3.300
94.22E-12,3.109,3.300,285.5E-6,200.0E-6,-302.7E-9,3.300,3.300,-3.846E-9,3.846E-9,23.59E-6,23.60E-6,-1.223E-9,1.223E-9,3.300,3.300
95.49E-12,3.151,3.300,383.5E-6,200.0E-6,-302.1E-9,3.300,3.300,-3.201E-9,3.201E-9,26.75E-6,26.76E-6,-823.7E-12,823.7E-12,3.300,3.300
96.72E-12,3.192,3.300,494.0E-6,200.0E-6,-301.5E-9,3.300,3.300,-2.643E-9,2.643E-9,30.33E-6,30.33E-6,-505.1E-12,505.1E-12,3.300,3.300
97.74E-12,3.225,3.300,590.4E-6,200.0E-6,-301.1E-9,3.300,3.300,-2.234E-9,2.234E-9,33.12E-6,33.12E-6,-290.4E-12,290.4E-12,3.300,3.300
98.87E-12,3.263,3.300,696.1E-6,200.0E-6,-300.6E-9,3.300,3.300,-1.834E-9,1.834E-9,35.61E-6,35.61E-6,-100.1E-12,100.1E-12,3.300,3.300
100.0E-12,3.300,3.300,799.0E-6,200.0E-6,-300.1E-9,3.300,3.300,-1.486E-9,1.486E-9,37.41E-6,37.41E-6,48.21E-12,-48.21E-12,3.300,3.300
100.4E-12,3.300,3.300,834.3E-6,200.0E-6,-299.9E-9,3.300,3.300,-1.374E-9,1.374E-9,37.76E-6,37.76E-6,90.59E-12,-90.59E-12,3.300,3.300
100.8E-12,3.300,3.300,864.5E-6,200.0E-6,-299.8E-9,3.300,3.300,-1.280E-9,1.280E-9,38.03E-6,38.03E-6,124.8E-12,-124.8E-12,3.300,3.300
101.1E-12,3.300,3.300,896.5E-6,200.0E-6,-299.6E-9,3.300,3.300,-1.184E-9,1.184E-9,38.28E-6,38.28E-6,158.6E-12,-158.6E-12,3.300,3.300
101.9E-12,3.300,3.300,959.5E-6,200.0E-6,-299.3E-9,3.300,3.300,-1.004E-9,1.004E-9,38.62E-6,38.63E-6,217.3E-12,-217.3E-12,3.300,3.300
103.4E-12,3.300,3.300,1.081E-3,200.0E-6,-298.7E-9,3.300,3.300,-689.1E-12,689.1E-12,38.73E-6,38.73E-6,304.0E-12,-304.0E-12,3.300,3.300
105.7E-12,3.300,3.300,1.251E-3,200.0E-6,-297.9E-9,3.300,3.300,-307.9E-12,307.9E-12,37.56E-6,37.56E-6,376.7E-12,-376.7E-12,3.300,3.300
108.0E-12,3.300,3.300,1.400E-3,200.0E-6,-297.1E-9,3.300,3.300,-26.50E-12,26.50E-12,35.09E-6,35.09E-6,398.3E-12,-398.3E-12,3.300,3.300
110.1E-12,3.300,3.300,1.522E-3,200.0E-6,-296.4E-9,3.300,3.300,169.1E-12,-169.1E-12,31.91E-6,31.91E-6,388.9E-12,-388.9E-12,3.300,3.300
112.0E-12,3.300,3.300,1.615E-3,200.0E-6,-295.8E-9,3.300,3.300,299.2E-12,-299.2E-12,28.61E-6,28.61E-6,359.4E-12,-359.4E-12,3.300,3.300
114.5E-12,3.300,3.300,1.721E-3,200.0E-6,-295.1E-9,3.300,3.300,429.6E-12,-429.6E-12,23.66E-6,23.66E-6,319.5E-12,-319.5E-12,3.300,3.300
117.3E-12,3.300,3.300,1.812E-3,200.0E-6,-294.2E-9,3.300,3.300,525.9E-12,-525.9E-12,17.97E-6,17.97E-6,269.9E-12,-269.9E-12,3.300,3.300
120.4E-12,3.300,3.300,1.883E-3,200.0E-6,-293.4E-9,3.300,3.300,590.7E-12,-590.7E-12,11.77E-6,11.77E-6,215.7E-12,-215.7E-12,3.300,3.300
123.8E-12,3.300,3.300,1.928E-3,200.0E-6,-292.5E-9,3.300,3.300,627.7E-12,-627.7E-12,5.171E-6,5.171E-6,161.1E-12,-161.1E-12,3.300,3.300
127.5E-12,3.300,3.300,1.926E-3,200.0E-6,-291.6E-9,3.300,3.300,689.6E-12,-689.6E-12,-2.475E-6,-2.476E-6,126.4E-12,-126.4E-12,3.300,3.300
131.0E-12,3.300,3.300,1.854E-3,200.0E-6,-290.8E-9,3.300,3.300,671.3E-12,-671.3E-12,-11.20E-6,-11.20E-6,80.69E-12,-80.69E-12,3.300,3.300
134.5E-12,3.300,3.300,1.692E-3,200.0E-6,-290.1E-9,3.300,3.300,646.2E-12,-646.2E-12,-21.71E-6,-21.71E-6,45.79E-12,-45.79E-12,3.300,3.300
136.4E-12,3.300,3.300,1.563E-3,200.0E-6,-289.7E-9,3.300,3.300,631.8E-12,-631.8E-12,-28.08E-6,-28.09E-6,31.72E-12,-31.72E-12,3.300,3.300
138.3E-12,3.300,3.300,1.399E-3,200.0E-6,-289.3E-9,3.300,3.300,617.6E-12,-617.6E-12,-35.22E-6,-35.22E-6,20.42E-12,-20.42E-12,3.300,3.300
140.1E-12,3.300,3.300,1.207E-3,200.0E-6,-271.9E-9,3.300,3.300,5.489E-9,-5.489E-9,-42.54E-6,-42.54E-6,1.761E-9,-1.761E-9,3.300,3.300
