output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
0.1,1.510891144948574e-09,0.1,1.510891144948574e-09,0.1,1.510891144948574e-09,0.1,1.492212532340301e-09,0.1,1.529722572291397e-09
0.1659586907437561,1.510891144855729e-09,0.1659586907437561,1.510891144855729e-09,0.1659586907437561,1.510891144855729e-09,0.1659586907437561,1.492212532135675e-09,0.1659586907437561,1.529722572233119e-09
0.2754228703338167,1.510891144802553e-09,0.2754228703338167,1.510891144802553e-09,0.2754228703338167,1.510891144802553e-09,0.2754228703338167,1.492212532017554e-09,0.2754228703338167,1.529722572199797e-09
0.4570881896148751,1.510891144772094e-09,0.4570881896148751,1.510891144772094e-09,0.4570881896148751,1.510891144772094e-09,0.4570881896148751,1.492212531949324e-09,0.4570881896148751,1.529722572180746e-09
0.7585775750291839,1.510891144754649e-09,0.7585775750291839,1.510891144754649e-09,0.7585775750291839,1.510891144754649e-09,0.7585775750291839,1.492212531909887e-09,0.7585775750291839,1.529722572169858e-09
1.258925411794168,1.510891144744662e-09,1.258925411794168,1.510891144744662e-09,1.258925411794168,1.510891144744662e-09,1.258925411794168,1.492212531887082e-09,1.258925411794168,1.529722572163641e-09
2.08929613085404,1.510891144738953e-09,2.08929613085404,1.510891144738953e-09,2.08929613085404,1.510891144738953e-09,2.08929613085404,1.492212531873893e-09,2.08929613085404,1.529722572160102e-09
3.467368504525318,1.510891144735708e-09,3.467368504525318,1.510891144735708e-09,3.467368504525318,1.510891144735708e-09,3.467368504525318,1.492212531866277e-09,3.467368504525318,1.529722572158106e-09
5.754399373371571,1.51089114473389e-09,5.754399373371571,1.51089114473389e-09,5.754399373371571,1.51089114473389e-09,5.754399373371571,1.492212531861902e-09,5.754399373371571,1.529722572157009e-09
9.549925860214364,1.51089114473292e-09,9.549925860214364,1.51089114473292e-09,9.549925860214364,1.51089114473292e-09,9.549925860214364,1.492212531859433e-09,9.549925860214364,1.529722572156455e-09
15.84893192461114,1.51089114473248e-09,15.84893192461114,1.51089114473248e-09,15.84893192461114,1.51089114473248e-09,15.84893192461114,1.492212531858108e-09,15.84893192461114,1.529722572156259e-09
