output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
0.1,0.005575424995058253,0.1,0.005575424995058253,0.1,0.005575424995058253,0.1,0.005972172683238742,0.1,0.004818326695074792
0.1659586907437561,0.004348156778264214,0.1659586907437561,0.004348156778264214,0.1659586907437561,0.004348156778264214,0.1659586907437561,0.004656886457736423,0.1659586907437561,0.003760754399563882
0.2754228703338167,0.003392627302416406,0.2754228703338167,0.003392627302416406,0.2754228703338167,0.003392627302416406,0.2754228703338167,0.003633001949520755,0.2754228703338167,0.002936571704144573
0.4570881896148751,0.002648263869024281,0.4570881896148751,0.002648263869024281,0.4570881896148751,0.002648263869024281,0.4570881896148751,0.002835519757646387,0.4570881896148751,0.002293949227687401
0.7585775750291839,0.002068097673831219,0.7585775750291839,0.002068097673831219,0.7585775750291839,0.002068097673831219,0.7585775750291839,0.002214049329487287,0.7585775750291839,0.001792649568875974
1.258925411794168,0.001615683393445066,1.258925411794168,0.001615683393445066,1.258925411794168,0.001615683393445066,1.258925411794168,0.001729498384074356,1.258925411794168,0.001401414193008269
2.08929613085404,0.001262722393013472,2.08929613085404,0.001262722393013472,2.08929613085404,0.001262722393013472,2.08929613085404,0.001351519146357381,2.08929613085404,0.001095944409682608
3.467368504525318,0.0009872273870926835,3.467368504525318,0.0009872273870926835,3.467368504525318,0.0009872273870926835,3.467368504525318,0.001056536823487861,3.467368504525318,0.0008573401650793988
5.754399373371571,0.0007721040972470313,5.754399373371571,0.0007721040972470313,5.754399373371571,0.0007721040972470313,5.754399373371571,0.0008262263810852145,5.754399373371571,0.0006708919169428214
9.549925860214364,0.000604054316244752,9.549925860214364,0.000604054316244752,9.549925860214364,0.000604054316244752,9.549925860214364,0.0006463347687715423,9.549925860214364,0.0005251450380279391
15.84893192461114,0.0004727269009836571,15.84893192461114,0.0004727269009836571,15.84893192461114,0.0004727269009836571,15.84893192461114,0.0005057695553848596,15.84893192461114,0.0004111747395394287
26.30267991895383,0.0003700601676444435,26.30267991895383,0.0003700601676444435,26.30267991895383,0.0003700601676444435,26.30267991895383,0.000395893183764298,26.30267991895383,0.0003220237430272531
43.65158322401662,0.0002897721676435858,43.65158322401662,0.0002897721676435858,43.65158322401662,0.0002897721676435858,43.65158322401662,0.0003099760525274433,43.65158322401662,0.0002522658672636631
72.44359600749904,0.0002269653080579549,72.44359600749904,0.0002269653080579549,72.44359600749904,0.0002269653080579549,72.44359600749904,0.0002427723766906468,72.44359600749904,0.0001976671068605679
120.2264434617413,0.0001778194522540736,120.2264434617413,0.0001778194522540736,120.2264434617413,0.0001778194522540736,120.2264434617413,0.000190191032203384,120.2264434617413,0.000154922251041236
199.526231496888,0.0001393535347455842,199.526231496888,0.0001393535347455842,199.526231496888,0.0001393535347455842,199.526231496888,0.0001490399325246581,199.526231496888,0.0001214500743106051
331.1311214825913,0.0001092402596776547,331.1311214825913,0.0001092402596776547,331.1311214825913,0.0001092402596776547,331.1311214825913,0.00011682736057954,331.1311214825913,9.52339696693533e-05
549.5408738576248,8.566193616808601e-05,549.5408738576248,8.566193616808601e-05,549.5408738576248,8.566193616808601e-05,549.5408738576248,9.160742126843335e-05,549.5408738576248,7.46978513644239e-05
912.0108393559101,6.719816790951595e-05,912.0108393559101,6.719816790951595e-05,912.0108393559101,6.719816790951595e-05,912.0108393559101,7.185963595746482e-05,912.0108393559101,5.860942530293485e-05
1513.561248436209,5.273812281683488e-05,1513.561248436209,5.273812281683488e-05,1513.561248436209,5.273812281683488e-05,1513.561248436209,5.639484320664061e-05,1513.561248436209,4.600465524959244e-05
2511.886431509581,4.141155750387263e-05,2511.886431509581,4.141155750387263e-05,2511.886431509581,4.141155750387263e-05,2511.886431509581,4.428109448714718e-05,2511.886431509581,3.612853668358937e-05
