(VT("/net4") - VT("/net3")) X,(VT("/net4") - VT("/net3")) Y
0,-3.108624468950438e-15
1e-09,-3.33066907387547e-15
1.0183802075954e-09,-2.886579864025407e-15
1.037909882094743e-09,-1.110223024625157e-15
1.076969231093429e-09,2.220446049250313e-16
1.155087929090802e-09,-1.110223024625157e-15
1.311325325085546e-09,-1.998401444325282e-15
1.579361631027446e-09,5.284661597215745e-14
2.020215513530411e-09,5.704325900524054e-13
2.90192327853634e-09,4.254152585758675e-12
4.6653388085482e-09,2.157229950228157e-11
8.192169868571919e-09,8.614997604183827e-11
1.524583198861936e-08,3.246163338133101e-10
2.497077482523757e-08,8.922669270106098e-10
2.739011174264767e-08,1.076524869247919e-09
3.103901019309348e-08,1.38681910399896e-09
3.408921601366002e-08,1.67605640477575e-09
3.662975895133162e-08,1.937696225695618e-09
3.920609408551869e-08,2.222245942817835e-09
4.062526902336326e-08,2.387254394164984e-09
4.202254524276809e-08,2.555448519458992e-09
4.269402571137467e-08,2.637240870129176e-09
4.339714276396328e-08,2.725263126279742e-09
4.373907169632951e-08,2.768821172338676e-09
4.40962216386897e-08,2.814683375262916e-09
4.43953655490264e-08,2.853326463991834e-09
4.466342212512231e-08,2.888124184252661e-09
4.497240856739364e-08,2.9284499269977e-09
4.54039672598252e-08,2.985216074335995e-09
4.602934478381224e-08,3.06845571174108e-09
4.615114306268832e-08,3.084803967823291e-09
4.628274678307199e-08,3.102518242315e-09
4.635277310965082e-08,3.111964685942326e-09
4.643128649058874e-08,3.122574421254853e-09
4.650018163220518e-08,3.131898518304865e-09
4.659733551934937e-08,3.145072424715067e-09
4.668642623898454e-08,3.15717785248637e-09
4.676705002049539e-08,3.168152629129395e-09
4.685829215897125e-08,3.180596008789394e-09
4.696501895814018e-08,3.195180120485475e-09
4.709912336567409e-08,3.213551869052367e-09
4.727568787127072e-08,3.237818457790809e-09
4.752581506207207e-08,3.272351500882564e-09
4.780069247658261e-08,3.310508978060511e-09
4.812068466419437e-08,3.3552056688535e-09
4.851782850198264e-08,3.411090521154847e-09
4.904479636934761e-08,3.485952859705321e-09
4.983273930305494e-08,3.59939589245073e-09
5.08791453013254e-08,3.752837596238123e-09
5.21707997854566e-08,3.94662458269579e-09
5.418455840545315e-08,4.258403851764569e-09
5.683455705382673e-08,4.686600441061728e-09
5.985648579054132e-08,5.199714436798786e-09
6.328753231907783e-08,5.814316583752088e-09
6.753725509485456e-08,6.622707049430687e-09
7.329625288201431e-08,7.801269852336645e-09
8.112659205234413e-08,9.556648139508184e-09
9.001307018340954e-08,1.176149422299488e-08
9.550653509170478e-08,1.323725240531815e-08
1.01e-07,1.479884237376439e-08
1.018113325392685e-07,1.503767332877715e-08
1.026813975505617e-07,1.529521487242391e-08
1.038535966789272e-07,1.564527996045229e-08
1.055525852986408e-07,1.615940981025688e-08
1.081488926695272e-07,1.696074725110464e-08
1.112356596229241e-07,1.793817072659465e-08
1.152853021222826e-07,1.926115733574818e-08
1.211862506003539e-07,2.127138376550874e-08
1.296317568976708e-07,2.43179181236286e-08
1.436059992263428e-07,2.979448865403356e-08
1.715544838836868e-07,4.235979056410599e-08
2.259626876154966e-07,7.286396086492175e-08
2.541599137619094e-07,9.178384097197068e-08
2.935623261683622e-07,1.21799991648075e-07
3.236044624833514e-07,1.47664477090359e-07
3.480330056844479e-07,1.709641979097398e-07
3.738692353042593e-07,1.992032194753079e-07
3.970630882678472e-07,2.290456440068311e-07
4.065650373466177e-07,2.422421057080015e-07
4.162319444273699e-07,2.560371248350179e-07
4.197394458173638e-07,2.611234279914498e-07
4.237055382781227e-07,2.669217518125322e-07
4.251590034238453e-07,2.690595390930639e-07
4.268150355239746e-07,2.715055307245251e-07
4.281766286573077e-07,2.735280590915323e-07
4.29248663473915e-07,2.751313181725834e-07
4.303717542608018e-07,2.768279732112688e-07
4.317226592606605e-07,2.789076549714053e-07
4.34424469260378e-07,2.829929233172379e-07
4.35035664719585e-07,2.838922936732047e-07
4.357405517434128e-07,2.849206646171609e-07
4.362047641922226e-07,2.85552198109329e-07
4.367140702916983e-07,2.864812325142907e-07
4.371139926706273e-07,2.877550553392894e-07
4.374346187605293e-07,2.895425312843258e-07
4.3781290953244e-07,2.931873352984837e-07
4.381844736443112e-07,2.987348257654787e-07
4.38533617220441e-07,3.055768700299666e-07
4.389383227876261e-07,3.147315670304351e-07
4.394303208225185e-07,3.262895214017902e-07
4.401839664523907e-07,3.432296138417001e-07
4.413852993116781e-07,3.696558876775669e-07
4.431751260296273e-07,4.133766060565591e-07
4.465030800127647e-07,5.120311057371651e-07
4.50651937315386e-07,6.618059857910197e-07
4.553410705114759e-07,8.620103262302337e-07
4.616275489164669e-07,1.173744339721949e-06
4.694000723228128e-07,1.616228531675645e-06
4.797309634763857e-07,2.284466650070982e-06
4.921979509959352e-07,3.190318687895655e-06
5.081764464748872e-07,4.479620931086004e-06
5.274351490302016e-07,6.192644722124996e-06
5.517397690150022e-07,8.557878346637793e-06
5.813452593577284e-07,1.169611763707223e-05
6.183220808669928e-07,1.595117765806897e-05
6.640164669353661e-07,2.164715804919837e-05
7.214706740992339e-07,2.938230079885251e-05
7.967635689199703e-07,4.028397981192811e-05
8.861704271941495e-07,5.43677330331338e-05
9.435852135970748e-07,6.619576395072713e-05
1.001e-06,8.083619275844889e-05
1.009399181149974e-06,8.318935363615942e-05
1.018329405951602e-06,8.570958309905841e-05
1.030366938395645e-06,8.912201425426147e-05
1.054442003283733e-06,9.600756562244683e-05
1.102592133059908e-06,0.0001100063328700607
1.198892392612257e-06,0.0001388232295769232
1.391492911716957e-06,0.0001990429902383184
1.776693949926356e-06,0.0003243969224142607
2.276693949926356e-06,0.0004820468905137876
2.776693949926357e-06,0.0006159050302290137
3.276693949926357e-06,0.0007089359667415973
3.776693949926357e-06,0.0007482607806523767
4.276693949926358e-06,0.0007268142291543267
4.776693949926358e-06,0.0006440753259926435
5.276693949926358e-06,0.0005060489989834327
5.776693949926359e-06,0.0003245871049275539
6.276693949926359e-06,0.0001161431462346485
6.776693949926359e-06,-9.99101911336453e-05
7.276693949926359e-06,-0.000303235702423521
7.77669394992636e-06,-0.0004745689451677304
8.27669394992636e-06,-0.0005976408142360778
8.77669394992636e-06,-0.0006607991333009711
9.276693949926361e-06,-0.0006581721352716396
9.638346974963181e-06,-0.0006151844570967402
1e-05,-0.0005398233107956063
1.000005614809094e-05,-0.000539809093757837
1.000009881600742e-05,-0.0005397982905901433
1.00001841518404e-05,-0.0005397766852011099
1.000035482350635e-05,-0.0005397334728143299
1.000065172609107e-05,-0.0005396582854637622
1.000114807539341e-05,-0.0005395325434325304
1.000214077399811e-05,-0.0005392808927686676
1.00041261712075e-05,-0.0005387769448790269
1.000809696562627e-05,-0.0005377664452053121
1.001455030531337e-05,-0.0005361167686452895
1.002436305748518e-05,-0.0005335907977432885
1.002678212195538e-05,-0.0005329648471954496
1.003020098819887e-05,-0.0005320780030182437
1.003317798383448e-05,-0.0005313037055656444
1.00357450734635e-05,-0.0005306344704911758
1.00383307323337e-05,-0.0005299589446945419
1.003971612245341e-05,-0.0005295964037181911
1.004108271248283e-05,-0.0005292383689861069
1.004173605287115e-05,-0.0005290670585043067
1.004242225703806e-05,-0.0005288870302266879
1.004275976651501e-05,-0.0005287984458821615
1.004311112908416e-05,-0.0005287061994247999
1.004340697975788e-05,-0.0005286285062728879
1.004367548450338e-05,-0.0005285579779767957
1.004398747800526e-05,-0.0005284760068109406
1.004443110588294e-05,-0.0005283594145326642
1.004507223693856e-05,-0.0005281908400252
1.004519539367333e-05,-0.0005281584478622481
1.004531522467459e-05,-0.0005281269290962065
1.00453836872523e-05,-0.0005281089197790578
1.004545552944332e-05,-0.0005280900197899285
1.004552573365599e-05,-0.0005280715492614885
1.004561112135999e-05,-0.0005280490823535988
1.004569345100773e-05,-0.0005280274185366363
1.004577576542766e-05,-0.0005280057573089358
1.004586901207599e-05,-0.0005279812175760235
1.004597937794331e-05,-0.0005279521703007717
1.004611819258285e-05,-0.0005279156320474598
1.004630289025214e-05,-0.0005278670104629235
1.00465738175502e-05,-0.0005277956759495162
1.00468783275985e-05,-0.0005277154803873252
1.0047233268299e-05,-0.0005276219780518954
1.004768714719657e-05,-0.000527502372383637
1.004831943157474e-05,-0.000527335678960128
1.004933046897319e-05,-0.0005270689526495342
1.005058345955019e-05,-0.000526738089218437
1.005201736544989e-05,-0.0005263590375048643
1.005392062763436e-05,-0.0005258552265769989
1.005642729343948e-05,-0.0005251904977130462
1.00597485466546e-05,-0.0005243076694865234
1.006359364610763e-05,-0.0005232826355854314
1.006860543901332e-05,-0.0005219418223507688
1.007503727311407e-05,-0.0005202132316584063
1.008351068554902e-05,-0.0005179224965776719
1.009163228324175e-05,-0.0005157125632830883
1.009581614162088e-05,-0.0005145686597969323
1.01e-05,-0.0005134210609867296
1.0101e-05,-0.0005131461169598506
1.010142802803475e-05,-0.000513028415825012
1.010197681832524e-05,-0.0005128774187173057
1.010245469015219e-05,-0.0005127458957030484
1.010341043380609e-05,-0.0005124827341229654
1.010486166830338e-05,-0.0005120827749367507
1.010701483644087e-05,-0.0005114885384895906
1.010973089638405e-05,-0.0005107375676978165
1.011334279383335e-05,-0.0005097365139730137
1.011797884406537e-05,-0.0005084476171413055
1.012339816973301e-05,-0.0005069352783453329
1.01308018717524e-05,-0.0005048593113798905
1.013840713361618e-05,-0.0005027150155025861
1.014590546538327e-05,-0.0005005891951637143
1.014779509094099e-05,-0.0005000516497624119
