"v /net8; ac deg(V) (modelFiles=nom,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=nom,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=2e-12) Y"
0.1,-7.239841945768663e-06,0.1,-7.239841945768663e-06,0.1,-7.240554026003081e-06,0.1,-7.239841945768663e-06
0.1659586907437561,-1.201514690511325e-05,0.1659586907437561,-1.201514690511325e-05,0.1659586907437561,-1.201632866415e-05,0.1659586907437561,-1.201514690511325e-05
0.2754228703338167,-1.9940180494666e-05,0.2754228703338167,-1.9940180494666e-05,0.2754228703338167,-1.994214172649044e-05,0.2754228703338167,-1.9940180494666e-05
0.4570881896148751,-3.309246248088454e-05,0.4570881896148751,-3.309246248088454e-05,0.4570881896148751,-3.309571731555065e-05,0.4570881896148751,-3.309246248088454e-05
0.7585775750291839,-5.491981746813526e-05,0.7585775750291839,-5.491981746813526e-05,0.7585775750291839,-5.492521914912156e-05,0.7585775750291839,-5.491981746813526e-05
1.258925411794168,-9.11442100289414e-05,1.258925411794168,-9.11442100289414e-05,1.258925411794168,-9.115317458798818e-05,1.258925411794168,-9.11442100289414e-05
2.08929613085404,-0.0001512617376525446,2.08929613085404,-0.0001512617376525446,2.08929613085404,-0.0001512766151173717,2.08929613085404,-0.0001512617376525446
3.467368504525318,-0.0002510319994033906,3.467368504525318,-0.0002510319994033906,3.467368504525318,-0.0002510566898492169,3.467368504525318,-0.0002510319994033906
5.754399373371571,-0.0004166094195531634,5.754399373371571,-0.0004166094195531634,5.754399373371571,-0.0004166503954937698,5.754399373371571,-0.0004166094195531634
9.549925860214364,-0.0006913995381845696,9.549925860214364,-0.0006913995381845696,9.549925860214364,-0.0006914675413191485,9.549925860214364,-0.0006913995381845696
15.84893192461114,-0.001147437621283258,15.84893192461114,-0.001147437621283258,15.84893192461114,-0.001147550478395135,15.84893192461114,-0.001147437621283258
26.30267991895383,-0.001904272452943067,26.30267991895383,-0.001904272452943067,26.30267991895383,-0.001904459749128297,26.30267991895383,-0.001904272452943067
43.65158322401662,-0.003160305629087835,43.65158322401662,-0.003160305629087835,43.65158322401662,-0.003160616463384981,43.65158322401662,-0.003160305629087835
72.44359600749904,-0.0052448018363447,72.44359600749904,-0.0052448018363447,72.44359600749904,-0.005245317692876802,72.44359600749904,-0.0052448018363447
120.2264434617413,-0.00870420441769511,120.2264434617413,-0.00870420441769511,120.2264434617413,-0.008705060526447065,120.2264434617413,-0.00870420441769511
199.526231496888,-0.01444538349925698,199.526231496888,-0.01444538349925698,199.526231496888,-0.01444680428616693,199.526231496888,-0.01444538349925698
331.1311214825913,-0.02397336845061998,331.1311214825913,-0.02397336845061998,331.1311214825913,-0.02397572637011437,331.1311214825913,-0.02397336845061998
549.5408738576248,-0.03978588439616213,549.5408738576248,-0.03978588439616213,549.5408738576248,-0.03978979756911034,549.5408738576248,-0.03978588439616213
912.0108393559101,-0.06602811450783289,912.0108393559101,-0.06602811450783289,912.0108393559101,-0.06603460876132855,912.0108393559101,-0.06602811450783289
1513.561248436209,-0.109579310544519,1513.561248436209,-0.109579310544519,1513.561248436209,-0.1095900883358867,1513.561248436209,-0.109579310544519
2511.886431509581,-0.1818560059971802,2511.886431509581,-0.1818560059971802,2511.886431509581,-0.1818738927392495,2511.886431509581,-0.1818560059971802
4168.693834703356,-0.3018040954729143,4168.693834703356,-0.3018040954729143,4168.693834703356,-0.3018337803532048,4168.693834703356,-0.3018040954729143
6918.309709189368,-0.5008621216157388,6918.309709189368,-0.5008621216157388,6918.309709189368,-0.5009113875218695,6918.309709189368,-0.5008621216157388
11481.53621496883,-0.8311876388190951,11481.53621496883,-0.8311876388190951,11481.53621496883,-0.8312694056642809,11481.53621496883,-0.8311876388190951
19054.60717963248,-1.379260967173708,19054.60717963248,-1.379260967173708,19054.60717963248,-1.379396692822672,19054.60717963248,-1.379260967173708
31622.77660168381,-2.288240021983314,31622.77660168381,-2.288240021983314,31622.77660168381,-2.288465391290645,31622.77660168381,-2.288240021983314
52480.74602497728,-3.794051562967234,52480.74602497728,-3.794051562967234,52480.74602497728,-3.7944261330258,52480.74602497728,-3.794051562967234
87096.35899560811,-6.28074274702727,87096.35899560811,-6.28074274702727,87096.35899560811,-6.281366867629544,87096.35899560811,-6.28074274702727
144543.9770745928,-10.3523604984848,144543.9770745928,-10.3523604984848,144543.9770745928,-10.35340734747531,144543.9770745928,-10.3523604984848
239883.2919019492,-16.87014505522208,239883.2919019492,-16.87014505522208,239883.2919019492,-16.87192937741911,239883.2919019492,-16.87014505522208
398107.1705534975,-26.7337295366116,398107.1705534975,-26.7337295366116,398107.1705534975,-26.736868862531,398107.1705534975,-26.7337295366116
660693.4480075964,-39.95617083735354,660693.4480075964,-39.95617083735354,660693.4480075964,-39.96191231892062,660693.4480075964,-39.95617083735354
1096478.196143186,-54.44791103603581,1096478.196143186,-54.44791103603581,1096478.196143186,-54.45852554759154,1096478.196143186,-54.44791103603581
1819700.858609985,-67.08492947762375,1819700.858609985,-67.08492947762375,1819700.858609985,-67.10403909548434,1819700.858609985,-67.08492947762375
3019951.720402018,-76.48775892249523,3019951.720402018,-76.48775892249523,3019951.720402018,-76.52076686215014,3019951.720402018,-76.48775892249523
5011872.336272726,-83.32050391378968,5011872.336272726,-83.32050391378968,5011872.336272726,-83.37255452624285,5011872.336272726,-83.32050391378968
8317637.711026715,-88.98906864460245,8317637.711026715,-88.98906864460245,8317637.711026715,-89.05711199783255,8317637.711026715,-88.98906864460245
13803842.64602886,-94.85740787330892,13803842.64602886,-94.85740787330892,13803842.64602886,-94.93435488008903,13803842.64602886,-94.85740787330892
22908676.52767774,-102.3838048949816,22908676.52767774,-102.3838048949816,22908676.52767774,-102.4864712104948,22908676.52767774,-102.3838048949816
