"/net8 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) X","/net8 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) Y","/net8 (Corner=Asym_SF,modelFiles=spectre.scs:sf) X","/net8 (Corner=Asym_SF,modelFiles=spectre.scs:sf) Y","/net8 (Corner=Asym_FS,modelFiles=spectre.scs:fs) X","/net8 (Corner=Asym_FS,modelFiles=spectre.scs:fs) Y","/net8 (Corner=nom,modelFiles=nom) X","/net8 (Corner=nom,modelFiles=nom) Y"
1e-10,1.650013456500844,1e-10,1.650012012489064,1e-10,1.650012012489064,1e-10,1.650012012489064
1.202264434617413e-10,1.650015479108349,1.202264434617413e-10,1.650014035096525,1.202264434617413e-10,1.650014035096525,1.202264434617413e-10,1.650014035096525
1.445439770745928e-10,1.650017910817418,1.445439770745928e-10,1.650016466805541,1.445439770745928e-10,1.650016466805541,1.445439770745928e-10,1.650016466805541
1.737800828749376e-10,1.650020834374747,1.737800828749376e-10,1.650019390362807,1.737800828749376e-10,1.650019390362807,1.737800828749376e-10,1.650019390362807
2.08929613085404e-10,1.650024349263747,2.08929613085404e-10,1.650022905251729,2.08929613085404e-10,1.650022905251729,2.08929613085404e-10,1.650022905251729
2.51188643150958e-10,1.65002857508978,2.51188643150958e-10,1.650027131077673,2.51188643150958e-10,1.650027131077673,2.51188643150958e-10,1.650027131077673
3.019951720402017e-10,1.65003365565013,3.019951720402017e-10,1.650032211637912,3.019951720402017e-10,1.650032211637912,3.019951720402017e-10,1.650032211637912
3.630780547701014e-10,1.650039763827146,3.630780547701014e-10,1.650038319814795,3.630780547701014e-10,1.650038319814795,3.630780547701014e-10,1.650038319814795
4.365158322401661e-10,1.650047107471131,4.365158322401661e-10,1.650045663458619,4.365158322401661e-10,1.650045663458619,4.365158322401661e-10,1.650045663458619
5.248074602497728e-10,1.650055936473114,5.248074602497728e-10,1.650054492460411,5.248074602497728e-10,1.650054492460411,5.248074602497728e-10,1.650054492460411
6.309573444801935e-10,1.650066551268193,6.309573444801935e-10,1.650065107255262,6.309573444801935e-10,1.650065107255262,6.309573444801935e-10,1.650065107255262
7.585775750291841e-10,1.650079313058796,7.585775750291841e-10,1.650077869045588,7.585775750291841e-10,1.650077869045588,7.585775750291841e-10,1.650077869045588
9.120108393559102e-10,1.650094656105758,9.120108393559102e-10,1.650093212092219,9.120108393559102e-10,1.650093212092219,9.120108393559102e-10,1.650093212092219
1.096478196143186e-09,1.650113102505443,1.096478196143186e-09,1.650111658491504,1.096478196143186e-09,1.650111658491504,1.096478196143186e-09,1.650111658491504
