output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
0.1,1.794909957315525e-05,0.1,1.794909957315525e-05,0.1,1.794909957315525e-05,0.1,1.842696693694784e-05
0.1584893192461114,1.423719628776928e-05,0.1584893192461114,1.423719628776928e-05,0.1584893192461114,1.423719628776928e-05,0.1584893192461114,1.462045063995233e-05
0.2511886431509581,1.129933085932103e-05,0.2511886431509581,1.129933085932103e-05,0.2511886431509581,1.129933085932103e-05,0.2511886431509581,1.160677180875116e-05
0.3981071705534974,8.972683098911542e-06,0.3981071705534974,8.972683098911542e-06,0.3981071705534974,8.972683098911542e-06,0.3981071705534974,9.219356286733419e-06
0.6309573444801935,7.128988505002117e-06,0.6309573444801935,7.128988505002117e-06,0.6309573444801935,7.128988505002117e-06,0.6309573444801935,7.326940070920849e-06
1,5.667140231498353e-06,1,5.667140231498353e-06,1,5.667140231498353e-06,1,5.826018391899626e-06
1.584893192461114,4.507388136061337e-06,1.584893192461114,4.507388136061337e-06,1.584893192461114,4.507388136061337e-06,1.584893192461114,4.634923164211138e-06
2.511886431509581,3.586787522711542e-06,2.511886431509581,3.586787522711542e-06,2.511886431509581,3.586787522711542e-06,2.511886431509581,3.689174943653307e-06
3.981071705534975,2.855626259818005e-06,3.981071705534975,2.855626259818005e-06,3.981071705534975,2.855626259818005e-06,3.981071705534975,2.937832952465116e-06
6.309573444801937,2.274618272480085e-06,6.309573444801937,2.274618272480085e-06,6.309573444801937,2.274618272480085e-06,6.309573444801937,2.340627120731636e-06
10.00000000000001,1.812697681866705e-06,10.00000000000001,1.812697681866705e-06,10.00000000000001,1.812697681866705e-06,10.00000000000001,1.86570320914099e-06
15.84893192461115,1.445283975649824e-06,15.84893192461115,1.445283975649824e-06,15.84893192461115,1.445283975649824e-06,15.84893192461115,1.487848855252123e-06
25.11886431509582,1.152916786230883e-06,25.11886431509582,1.152916786230883e-06,25.11886431509582,1.152916786230883e-06,25.11886431509582,1.187097103630941e-06
39.81071705534976,9.201808727190708e-07,39.81071705534976,9.201808727190708e-07,39.81071705534976,9.201808727190708e-07,39.81071705534976,9.476264150783455e-07
63.09573444801939,7.34859107373461e-07,63.09573444801939,7.34859107373461e-07,63.09573444801939,7.34859107373461e-07,63.09573444801939,7.56893683910075e-07
100.0000000000001,5.872647149456563e-07,100.0000000000001,5.872647149456563e-07,100.0000000000001,5.872647149456563e-07,100.0000000000001,6.049505007787532e-07
158.4893192461115,4.697145264533575e-07,158.4893192461115,4.697145264533575e-07,158.4893192461115,4.697145264533575e-07,158.4893192461115,4.839036188625399e-07
251.1886431509583,3.761132256983093e-07,251.1886431509583,3.761132256983093e-07,251.1886431509583,3.761132256983093e-07,251.1886431509583,3.874889633913445e-07
398.1071705534977,3.016249805134317e-07,398.1071705534977,3.016249805134317e-07,398.1071705534977,3.016249805134317e-07,398.1071705534977,3.107350711472243e-07
630.957344480194,2.424138390076286e-07,630.957344480194,2.424138390076286e-07,630.957344480194,2.424138390076286e-07,630.957344480194,2.496969433469189e-07
1000.000000000001,1.954381198542706e-07,1000.000000000001,1.954381198542706e-07,1000.000000000001,1.954381198542706e-07,1000.000000000001,2.012452344115819e-07
1584.893192461116,1.582869527774553e-07,1584.893192461116,1.582869527774553e-07,1584.893192461116,1.582869527774553e-07,1584.893192461116,1.628987022618266e-07
2511.886431509584,1.290493177189691e-07,2511.886431509584,1.290493177189691e-07,2511.886431509584,1.290493177189691e-07,2511.886431509584,1.326900979497157e-07
3981.071705534979,1.062076172047197e-07,3981.071705534979,1.062076172047197e-07,3981.071705534979,1.062076172047197e-07,3981.071705534979,1.090573877976776e-07
6309.573444801943,8.854938473792815e-08,6309.573444801943,8.854938473792815e-08,6309.573444801943,8.854938473792815e-08,6309.573444801943,9.075373608877776e-08
10000.00000000002,7.509280301632957e-08,10000.00000000002,7.509280301632957e-08,10000.00000000002,7.509280301632957e-08,10000.00000000002,7.677162023413016e-08
15848.93192461116,6.502481121763449e-08,15848.93192461116,6.502481121763449e-08,15848.93192461116,6.502481121763449e-08,15848.93192461116,6.627938955171633e-08
25118.86431509585,5.765406459490809e-08,25118.86431509585,5.765406459490809e-08,25118.86431509585,5.765406459490809e-08,25118.86431509585,5.857210418599623e-08
39810.7170553498,5.238203271040254e-08,39810.7170553498,5.238203271040254e-08,39810.7170553498,5.238203271040254e-08,39810.7170553498,5.304004628560448e-08
63095.73444801945,4.869105086554573e-08,63095.73444801945,4.869105086554573e-08,63095.73444801945,4.869105086554573e-08,63095.73444801945,4.915458547229167e-08
100000.0000000002,4.613979878376752e-08,100000.0000000002,4.613979878376752e-08,100000.0000000002,4.613979878376752e-08,100000.0000000002,4.646282564947479e-08
